"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-07-03 16:08:45",1751558925515,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Successfully upserted 1 chunks","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925515,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Upserted batch 1/1 to namespace: store-ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a-analytics","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925512,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:engine] Initialized namespace: store-ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a-products","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925512,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:engine] Successfully indexed 1 chunks for document","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925512,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Successfully upserted 1 chunks","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925511,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Upserted batch 1/1 to namespace: store-ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925509,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:engine] Successfully indexed 1 chunks for document","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925509,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Successfully upserted 1 chunks","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925509,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:vector-store] Upserted batch 1/1 to namespace: store-ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a-products","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
"2025-07-03 16:08:45",1751558925506,"fini-tn.vercel.app/api/chat/send","POST","",-1,"xh5ng-1751558925048-273650d36f29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/chat/send","fini-tn.vercel.app","fini-tn.vercel.app","dpl_7W3iYeujUv86MgiQqoUWbYVQqrU6",-1,"iad1",-1,-1,"[RAG:engine] Initialized namespace: store-ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a-conversations","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ8GRATFTSZWX27RK2W9SFJK",""
